IDBOOK;IDSCHOOL;IDCLASS;IDSTUD;ITSEX;ASDAGE;ILRELIAB;ASBG01;ASBG03;ASBG04;JKZONE;JKREP;TOTWGT;SENWGT;ASMMAT01;ASMMAT02;ASMMAT03;ASMMAT04;ASMMAT05;ASSSCI01;ASSSCI02;ASSSCI03;ASSSCI04;ASSSCI05;ASMIBM01;ASMIBM02;ASMIBM03;ASMIBM04;ASMIBM05;ASSIBM01;ASSIBM02;ASSIBM03;ASSIBM04;ASSIBM05;ASBGDML;ASDGDML;ASBGICM;ASDGICM;ASBGICS;ASDGICS;ASBGSEC;ASDGSEC;ASBGSSB;ASDGSSB;ASBGSB;ASDGSB;ASBGSLM;ASDGSLM;ASBGSCM;ASDGSCM;ASBGSLS;ASDGSLS;ASBGSCS;ASDGSCS;ASBGVEP;ASDGVEP;ASBGDSL;ASDGDSL;ASBGHRL;ASDGHRL;ASDG05S
3;5001;500104;50010401;1;10.25;1;1;1;2;56;0;645.775824;0.09478;446.44085;484.13833;480.77808;539.48612;504.13854;410.80138;523.30724;484.42429;535.03287;580.95495;2;3;3;3;3;2;3;3;3;4;10.32222;2;9.79495;1;9.65624;1;10.52055;1;8.84474;2;6.10013;3;11.57546;1;8.47526;3;10.03773;1;8.18739;3;12.93917;1;9.73649;2;;;2
4;5001;500104;50010402;2;9.67;1;2;3;2;56;0;645.775824;0.09478;529.31038;539.38078;522.71439;534.57503;471.19726;500.26723;522.02303;538.84409;568.63392;539.73522;3;3;3;3;2;3;3;3;4;3;6.16447;3;7.982;2;11.89622;1;8.78297;2;8.23809;2;8.7175;2;8.5828;3;8.40994;3;12.38129;1;9.56806;2;10.81893;1;6.59927;3;;;3
5;5001;500104;50010403;2;10.83;1;2;3;5;56;0;645.775824;0.09478;339.3152;346.44792;381.31273;412.65748;409.32506;287.28475;362.68465;360.44552;390.91759;363.0149;1;1;1;2;2;1;1;1;1;1;6.16447;3;8.74997;2;11.89622;1;999999;9;12.85659;1;4.79811;3;12.58525;1;8.60187;3;12.38129;1;999999;9;999999;9;999999;9;;;1
6;5001;500104;50010404;1;10.17;1;1;1;3;56;0;645.775824;0.09478;579.93317;569.81145;553.0576;596.54639;569.5494;647.26312;602.97103;626.01339;673.83742;554.26515;4;4;4;4;4;5;4;5;5;4;10.15868;2;12.0657;1;11.89622;1;10.52055;1;9.67568;1;10.26863;1;11.57546;1;10.37754;2;11.19654;1;9.00441;2;9.8007;1;9.6332;2;;;3
7;5001;500104;50010405;2;9.83;1;2;1;2;56;0;645.775824;0.09478;416.71165;355.34352;419.18261;400.54273;392.44614;473.5952;364.48189;500.88977;421.70028;469.86867;2;1;2;2;1;2;1;3;2;2;9.9092;2;12.0657;1;11.89622;1;10.52055;1;10.27009;1;10.26863;1;9.03594;2;11.12809;1;12.38129;1;12.03171;1;6.10961;3;8.96617;2;;;2
12;5001;500104;50010406;2;9.92;0;2;3;1;56;0;645.775824;0.09478;490.36254;447.96615;458.0266;485.79389;457.80631;537.33091;450.24683;465.43877;474.95148;502.48081;3;2;2;3;2;3;2;2;2;3;999999;9;999999;9;999999;9;999999;9;5.54831;3;999999;9;999999;9;999999;9;999999;9;999999;9;999999;9;999999;9;;;1
13;5001;500104;50010408;2;9.83;0;2;1;3;56;0;645.775824;0.09478;478.8763;494.58077;461.38651;492.19107;448.85676;544.99596;562.63552;518.98731;514.86085;504.8701;3;3;2;3;2;3;4;3;3;3;9.668;2;12.0657;1;11.89622;1;12.03529;1;10.27009;1;12.77213;1;8.5828;3;10.07795;2;12.38129;1;10.24194;2;9.12168;2;9.1832;2;;;3
14;5001;500104;50010409;2;9.92;0;2;1;3;56;0;645.775824;0.09478;579.44064;550.5496;619.57863;563.40171;547.53627;592.25164;549.72756;600.2238;532.76007;577.85675;4;4;4;4;3;4;3;4;3;4;8.66094;2;8.74997;2;10.57193;1;14.00922;1;9.67568;1;10.67995;1;10.32005;2;8.10347;3;10.44352;1;9.00441;2;7.80254;2;12.79012;1;;;2
8;5001;500104;50010410;2;9.58;1;2;1;3;56;0;645.775824;0.09478;660.916;731.05317;663.34012;663.23282;727.66369;657.26572;635.14308;682.28654;599.79653;665.57245;5;5;5;5;5;5;5;5;4;5;10.15868;2;10.57679;1;10.57193;1;12.03529;1;9.21853;2;11.31834;1;10.02905;2;14.24115;1;9.65304;2;9.88347;2;7.80254;2;10.48834;2;;;3
2;5001;500104;50010411;1;9.92;1;1;3;2;56;0;645.775824;0.09478;301.52542;318.73464;356.5006;420.59965;351.48837;317.51811;321.60461;354.22806;408.87444;311.75474;1;1;1;2;1;1;1;1;2;1;8.93735;2;9.79495;1;6.14475;3;8.27849;2;9.21853;2;9.14916;2;8.5828;3;9.80763;2;9.2842;2;9.00441;2;5.70286;3;8.74519;2;;;2
